"departamento","c_digo_divipola_departamento","municipio","c_digo_divipola_municipio","programa","a_o_de_asignaci_n","estado_de_postulaci_n","hogares","valor_asignado"
"RISARALDA","66","DOSQUEBRADAS","66170","VIPA","2016","Renuncias al subsidio","1","20683650"
"TOLIMA","73","ESPINAL","73268","Bolsa Desplazados","2005","Asignados","2","17900000"
"SUCRE","70","SAN PEDRO","70717","Bolsa Desplazados","2004","Asignados","12","107400000"
"ANTIOQUIA","5","DABEIBA","5234","Casa Digna Vida Digna","2025","Asignados","1","13920000"
"ANTIOQUIA","5","YARUMAL","5887","MI CASA YA","2020","Apto con subsidio vencido","1","26334090"
"CALDAS","17","SUPÍA","17777","Bolsa Desplazados","2008","Asignados","1","8695750"
"GUAVIARE","95","SAN JOSÉ DEL GUAVIARE","95001","MI CASA YA","2023","Asignados","1","34800000"
"BOYACÁ","15","TUNJA","15001","Semillero de Propietarios Ahorro","2022","Asignados","1","6000000"
"CALDAS","17","VILLAMARÍA","17873","Bolsa Desplazados","2009","Asignados","1","8695750"
"BOGOTÁ, D.C.","11","BOGOTÁ, D.C.","11001","Bolsa Ordinaria","2003","Asignados","353","2141985000"
"ATLÁNTICO","8","BARRANQUILLA","8001","VIPA","2016","Asignados","44","896291482"
"META","50","GRANADA","50313","MI CASA YA","2021","Asignados","1","18170520"
"ATLÁNTICO","8","SOLEDAD","8758","MI CASA YA","2021","Asignados","20","499689300"
"BOLÍVAR","13","MORALES","13473","Casa Digna Vida Digna","2025","Asignados","5","69574611"
"ANTIOQUIA","5","CALDAS","5129","MI CASA YA","2018","Asignados","2","39062100"
"SANTANDER","68","PIEDECUESTA","68547","MI CASA YA","2017","Apto con subsidio vencido","1","14754340"
"VALLE DEL CAUCA","76","CARTAGO","76147","Ahorro Programado Contractual","2011","Asignados","1","8483484"
"VALLE DEL CAUCA","76","GUACARÍ","76318","MI CASA YA","2019","Asignados","10","240153640"
"ANTIOQUIA","5","CALDAS","5129","MI CASA YA","2020","Asignados","1","17556060"
"CAUCA","19","BUENOS AIRES","19110","Bolsa Desplazados","2008","Asignados","5","51918750"
"RISARALDA","66","PEREIRA","66001","MI CASA YA","2015","Asignados","3","33506200"
"CAUCA","19","POPAYÁN","19001","Bolsa Desplazados","2011","Asignados","37","612066960"
"BOYACÁ","15","CHITA","15183","Bolsa Atentados terroristas","2004","Asignados","14","83545314"
"NARIÑO","52","CUMBAL","52227","Casa Digna Vida Digna","2025","Asignados","12","187200000"
"CALDAS","17","MANIZALES","17001","MI CASA YA","2024","Asignados","2","65000000"
"BOYACÁ","15","TUNJA","15001","MI CASA YA","2024","Asignados","19","572000000"
"CUNDINAMARCA","25","SOACHA","25754","MI CASA YA","2021","Apto con subsidio vencido","5","87780300"
"VALLE DEL CAUCA","76","JAMUNDÍ","76364","MI CASA YA","2020","Asignados","9","210672720"
"CHOCÓ","27","QUIBDÓ","27001","Bolsa Desplazados","2007","Asignados","164","2249652000"
"ANTIOQUIA","5","LA CEJA","5376","MI CASA YA","2023","Asignados","8","185600000"
"BOGOTÁ, D.C.","11","BOGOTÁ, D.C.","11001","MI CASA YA","2022","Renuncias al subsidio","1","20000000"
"VALLE DEL CAUCA","76","SANTIAGO DE CALI","76001","MI CASA YA","2021","Asignados","30","590541900"
"CUNDINAMARCA","25","MADRID","25430","MI CASA YA","2017","Asignados","4","59017360"
"BOYACÁ","15","NOBSA","15491","Bolsa Esfuerzo Territorial","2011","Asignados","60","665256400"
"SANTANDER","68","SAN GIL","68679","MI CASA YA","2020","Asignados","25","517903770"
"META","50","VILLAVICENCIO","50001","Bolsa unica Nacional","2010","Apto con subsidio vencido","4","43478750"
"VALLE DEL CAUCA","76","CARTAGO","76147","Semillero de Propietarios Ahorro","2022","Asignados","2","12000000"
"LA GUAJIRA","44","MANAURE","44560","VIPA","2022","Asignados","2","54511560"
"CUNDINAMARCA","25","FACATATIVÁ","25269","Semillero de Propietarios Arriendo","2021","Asignados","4","47050608"
"QUINDÍO","63","ARMENIA","63001","MI CASA YA","2015","Asignados","7","69589800"
"BOLÍVAR","13","CARTAGENA DE INDIAS","13001","MI CASA YA","2017","Asignados","5","73771700"
"NORTE DE SANTANDER","54","LOS PATIOS","54405","MI CASA YA","2020","Asignados","1","17556060"
"SANTANDER","68","AGUADA","68013","Bolsa Desastres Naturales","2005","Renuncias al subsidio","1","8011500"
"ANTIOQUIA","5","MEDELLÍN","5001","MI CASA YA","2023","Asignados","4","92800000"
"ATLÁNTICO","8","BARRANQUILLA","8001","Programa Vivienda Gratuita Fase I","2014","Subsidio revocado mediante procedimiento Administrativo Sancionatorio","3","129360000"
"VALLE DEL CAUCA","76","CARTAGO","76147","MI CASA YA","2017","Asignados","4","88526040"
"LA GUAJIRA","44","ALBANIA","44035","Casa Digna Vida Digna","2025","Asignados","11","153120000"
"BOGOTÁ, D.C.","11","BOGOTÁ, D.C.","11001","MI CASA YA","2017","Asignados","1","14754340"
"CUNDINAMARCA","25","MADRID","25430","Semillero de Propietarios Arriendo","2021","Asignados","3","40351140"
"RISARALDA","66","SANTA ROSA DE CABAL","66682","MI CASA YA","2020","Asignados","2","52668180"
"CAUCA","19","POPAYÁN","19001","MI CASA YA","2021","Renuncias al subsidio","1","18170520"
"BOYACÁ","15","SOATÁ","15753","MI CASA YA","2020","Asignados","2","52668180"
"RISARALDA","66","SANTA ROSA DE CABAL","66682","MI CASA YA","2019","Asignados","1","16562320"
"SUCRE","70","SINCELEJO","70001","MI CASA YA","2020","Asignados","2","52668180"
"VALLE DEL CAUCA","76","GUACARÍ","76318","MI CASA YA","2019","Asignados","1","24843480"
"CESAR","20","VALLEDUPAR","20001","Bolsa Desplazados","2010","Apto con subsidio vencido","1","15450000"
"ATLÁNTICO","8","PIOJÓ","8549","Casa Digna Vida Digna","2025","Asignados","2","31200000"
"CUNDINAMARCA","25","LA MESA","25386","MI CASA YA","2022","Asignados","2","40000000"
"META","50","VILLAVICENCIO","50001","MI CASA YA","2018","Asignados","8","124998720"
"VALLE DEL CAUCA","76","YUMBO","76892","MI CASA YA","2024","Apto con subsidio vencido","2","65000000"
"BOYACÁ","15","DUITAMA","15238","MI CASA YA","2020","Asignados","2","52668180"
"CUNDINAMARCA","25","ZIPAQUIRÁ","25899","MI CASA YA","2023","Asignados","14","324800000"
"ANTIOQUIA","5","ABEJORRAL","5002","Bolsa Desplazados","2008","Asignados","18","212014750"
"ATLÁNTICO","8","SOLEDAD","8758","MI CASA YA","2019","Asignados","48","1084831960"
"TOLIMA","73","VENADILLO","73861","MI CASA YA","2023","Asignados","5","162400000"
"CUNDINAMARCA","25","GUADUAS","25320","Bolsa Desplazados","2008","Asignados","8","63541500"
"LA GUAJIRA","44","FONSECA","44279","Casa Digna Vida Digna","2025","Asignados","29","452370524"
"BOYACÁ","15","CHIQUINQUIRÁ","15176","MI CASA YA","2023","Asignados","1","23200000"
"ANTIOQUIA","5","RIONEGRO","5615","Casa Digna Vida Digna","2022","Renuncias al subsidio","2","22800000"
"ANTIOQUIA","5","SALGAR","5642","Bolsa Desplazados","2008","Asignados","8","103378750"
"CÓRDOBA","23","SAHAGÚN","23660","MI CASA YA","2019","Asignados","1","16562320"
"VALLE DEL CAUCA","76","CANDELARIA","76130","MI CASA YA","2021","Apto con subsidio vencido","1","27255780"
"NARIÑO","52","BUESACO","52110","Programa Vivienda Gratuita Fase II","2019","Asignados","7","388386404"
"VALLE DEL CAUCA","76","YUMBO","76892","MI CASA YA","2022","Asignados","23","600000000"
"VALLE DEL CAUCA","76","PALMIRA","76520","VIPA","2016","Asignados","10","199941950"
"BOYACÁ","15","DUITAMA","15238","MI CASA YA","2017","Asignados","1","14754340"
"ANTIOQUIA","5","GUATAPÉ","5321","Bolsa Ordinaria","2005","Asignados","2","12023000"
"TOLIMA","73","ESPINAL","73268","MI CASA YA","2021","Asignados","7","181705200"
"CAUCA","19","POPAYÁN","19001","MI CASA YA","2021","Asignados","19","490604040"
"LA GUAJIRA","44","ALBANIA","44035","Casa Digna Vida Digna","2025","Asignados","29","403680000"
"VALLE DEL CAUCA","76","CANDELARIA","76130","MI CASA YA","2022","Asignados","28","780000000"
"VALLE DEL CAUCA","76","PALMIRA","76520","MI CASA YA","2018","Asignados","5","93749040"
"ATLÁNTICO","8","BARRANQUILLA","8001","MI CASA YA","2017","Renuncias al subsidio","2","44263020"
"VALLE DEL CAUCA","76","JAMUNDÍ","76364","VIPA","2016","Asignados","11","227520150"
"SUCRE","70","SINCELEJO","70001","MI CASA YA","2017","Asignados","1","8852604"
"QUINDÍO","63","ARMENIA","63001","MI CASA YA","2020","Asignados","1","17556060"
"CUNDINAMARCA","25","CHÍA","25175","MI CASA YA","2022","Asignados","2","40000000"
"CUNDINAMARCA","25","CABRERA","25120","Bolsa Desplazados","2007","Asignados","1","8695750"
"RISARALDA","66","DOSQUEBRADAS","66170","MI CASA YA","2019","Asignados","6","149060880"
"VALLE DEL CAUCA","76","CARTAGO","76147","Bolsa Esfuerzo Territorial","2010","Asignados","9","90915500"
"BOLÍVAR","13","EL CARMEN DE BOLÍVAR","13244","Bolsa Desplazados","2010","Asignados","6","92700000"
"BOGOTÁ, D.C.","11","BOGOTÁ, D.C.","11001","MI CASA YA","2017","Asignados","4","59017360"
"VALLE DEL CAUCA","76","CARTAGO","76147","MI CASA YA","2017","Asignados","1","8852604"
"RISARALDA","66","PEREIRA","66001","MI CASA YA","2020","Asignados","2","43890150"
"ATLÁNTICO","8","SABANALARGA","8638","Casa Digna Vida Digna","2025","Asignados","1","15600000"
"CESAR","20","EL PASO","20250","Bolsa Desplazados","2009","Asignado con aplicación en Vivienda Gratuita","1","14907000"
"VALLE DEL CAUCA","76","ZARZAL","76895","MI CASA YA","2024","Asignados","2","65000000"
"RISARALDA","66","SANTA ROSA DE CABAL","66682","MI CASA YA","2020","Renuncias al subsidio","1","26334090"
"CUNDINAMARCA","25","FUNZA","25286","MI CASA YA","2023","Asignados","3","69600000"
"ANTIOQUIA","5","BELLO","5088","MI CASA YA","2023","Renuncias al subsidio","1","34800000"
"SANTANDER","68","BUCARAMANGA","68001","MI CASA YA","2024","Asignados","5","169000000"
"BOGOTÁ, D.C.","11","BOGOTÁ, D.C.","11001","MI CASA YA","2018","Perdida de ejecutoriedad de asignación de SFV","1","23437260"
"QUINDÍO","63","QUIMBAYA","63594","MI CASA YA","2020","Asignados","4","105336360"
"NORTE DE SANTANDER","54","SAN JOSÉ DE CÚCUTA","54001","Semillero de Propietarios Arriendo","2020","Asignados","1","13303885"
"QUINDÍO","63","QUIMBAYA","63594","MI CASA YA","2021","Asignados","10","272557800"
"TOLIMA","73","IBAGUÉ","73001","MI CASA YA","2020","Asignados","14","342343170"
"BOLÍVAR","13","CARTAGENA DE INDIAS","13001","MI CASA YA","2022","Asignados","22","600000000"
"ANTIOQUIA","5","VALPARAÍSO","5856","MI CASA YA","2021","Asignados","1","27255780"
"BOYACÁ","15","PAIPA","15516","Bolsa Saludable","2010","Asignados","43","165431672"
"VALLE DEL CAUCA","76","JAMUNDÍ","76364","MI CASA YA","2016","Asignados","18","242688160"
"CESAR","20","SAN DIEGO","20750","Casa Digna Vida Digna","2025","Asignados","17","265200000"
"META","50","VILLAVICENCIO","50001","MI CASA YA","2018","Asignados","2","39062100"
"CALDAS","17","MANIZALES","17001","Bolsa Desplazados","2009","Asignado con aplicación en Vivienda Gratuita","1","8695750"
"ATLÁNTICO","8","GALAPA","8296","MI CASA YA","2020","Asignados","2","43890150"
"ARAUCA","81","TAME","81794","Bolsa Desplazados","2010","Asignados","24","370800000"
"VALLE DEL CAUCA","76","JAMUNDÍ","76364","MI CASA YA","2021","Asignados","56","1326447960"
"BOLÍVAR","13","TURBACO","13836","MI CASA YA","2021","Asignados","3","81767340"
"HUILA","41","NEIVA","41001","MI CASA YA","2016","Asignados","1","13789100"
"VALLE DEL CAUCA","76","BUGALAGRANDE","76113","Programa Vivienda Gratuita Fase I","2016","Asignados","48","2102555760"
"CESAR","20","VALLEDUPAR","20001","MI CASA YA","2022","Asignados","14","370000000"
"ANTIOQUIA","5","MEDELLÍN","5001","MI CASA YA","2016","Asignados","3","35851660"
"QUINDÍO","63","ARMENIA","63001","MI CASA YA","2020","Asignados","4","79002270"
"ANTIOQUIA","5","LA CEJA","5376","MI CASA YA","2021","Asignados","6","118108380"
"ATLÁNTICO","8","SOLEDAD","8758","MI CASA YA","2024","Asignados","23","884000000"
"BOYACÁ","15","BELÉN","15087","MI CASA YA","2024","Asignados","9","325000000"
"BOYACÁ","15","CUBARÁ","15223","Bolsa Desplazados","2008","Asignados","1","11537500"
"VALLE DEL CAUCA","76","LA UNIÓN","76400","Bolsa Esfuerzo Territorial","2012","Apto con subsidio vencido","3","21534600"
"SANTANDER","68","SAN GIL","68679","MI CASA YA","2021","Asignados","1","27255780"
"CESAR","20","VALLEDUPAR","20001","MI CASA YA","2025","Asignados","2","85410000"
"CAUCA","19","POPAYÁN","19001","MI CASA YA","2023","Apto con subsidio vencido","3","104400000"
"VALLE DEL CAUCA","76","SANTIAGO DE CALI","76001","MI CASA YA","2024","Asignados","9","260000000"
"BOYACÁ","15","FIRAVITOBA","15272","MI CASA YA","2021","Asignados","1","27255780"
"PUTUMAYO","86","MOCOA","86001","Bolsa Concejales","2008","Apto con subsidio vencido","1","10153000"
"CÓRDOBA","23","VALENCIA","23855","Casa Digna Vida Digna","2025","Asignados","19","296400000"
"ANTIOQUIA","5","TURBO","5837","MI CASA YA","2024","Asignados","2","52000000"
"SUCRE","70","SAN JOSÉ DE TOLUVIEJO","70823","Programa Vivienda Gratuita Fase I","2012","Asignados","1","39669000"
"NARIÑO","52","PASTO","52001","Programa Vivienda Gratuita Fase I","2014","Subsidio revocado mediante procedimiento Administrativo Sancionatorio","1","43120000"
"CALDAS","17","MANIZALES","17001","MI CASA YA","2024","Asignados","2","65000000"
"CALDAS","17","MANIZALES","17001","MI CASA YA","2018","Asignados","2","31249680"
"CÓRDOBA","23","MONTERÍA","23001","MI CASA YA","2019","Asignados","1","16562320"
"NORTE DE SANTANDER","54","EL ZULIA","54261","Bolsa Esfuerzo Territorial","2007","Restitución SFV por Vencimiento Vigencia","4","36350800"
"ATLÁNTICO","8","BARRANQUILLA","8001","MI CASA YA","2018","Asignados","6","101561460"
"SANTANDER","68","FLORIDABLANCA","68276","MI CASA YA","2019","Asignados","3","74530440"
"BOLÍVAR","13","TURBACO","13836","MI CASA YA","2018","Apto con subsidio vencido","1","23437260"
"NARIÑO","52","SAMANIEGO","52678","Semillero de Propietarios Arriendo","2021","Asignados","1","13450380"
"CUNDINAMARCA","25","RICAURTE","25612","MI CASA YA","2020","Asignados","2","35112120"
"CESAR","20","GAMARRA","20295","VIPA","2015","Perdida de ejecutoriedad de asignación de SFV","1","20683650"
"VALLE DEL CAUCA","76","LA VICTORIA","76403","Bolsa Esfuerzo Territorial","2009","Renuncia con restitucion de subsidio","3","26087250"
"RISARALDA","66","PEREIRA","66001","MI CASA YA","2020","Asignados","2","43890150"
"ANTIOQUIA","5","GUARNE","5318","MI CASA YA","2023","Asignados","2","46400000"
"CUNDINAMARCA","25","EL COLEGIO","25245","Bolsa Ordinaria","2004","Restitución SFV por Indemnización","3","22554000"
"NORTE DE SANTANDER","54","SAN JOSÉ DE CÚCUTA","54001","Bolsa Concejales","2008","Asignados","1","10153000"
"VALLE DEL CAUCA","76","CANDELARIA","76130","MI CASA YA","2018","Asignados","15","328121640"
"CALDAS","17","VITERBO","17877","Programa Vivienda Gratuita Fase II","2020","Asignados","1","55450647.36"
"NORTE DE SANTANDER","54","VILLA DEL ROSARIO","54874","MI CASA YA","2017","Asignados","4","66394530"
"TOLIMA","73","IBAGUÉ","73001","MI CASA YA","2019","Asignados","7","165623200"
"ATLÁNTICO","8","GALAPA","8296","MI CASA YA","2022","Asignados","1","20000000"
"RISARALDA","66","LA VIRGINIA","66400","Fenómeno de la Niña","2013","Renuncias al subsidio","6","153006000"
"VALLE DEL CAUCA","76","FLORIDA","76275","MI CASA YA","2019","Apto con subsidio vencido","1","24843480"
"ATLÁNTICO","8","SOLEDAD","8758","MI CASA YA","2017","Asignados","4","47213888"
"MAGDALENA","47","SANTA MARTA","47001","VIPA","2015","Asignados","4","75840050"
"ANTIOQUIA","5","MEDELLÍN","5001","MI CASA YA","2020","Asignados","1","17556060"
"BOYACÁ","15","SOGAMOSO","15759","MI CASA YA","2017","Apto con subsidio vencido","1","14754340"
"ANTIOQUIA","5","MARINILLA","5440","MI CASA YA","2019","Asignados","2","49686960"
"HUILA","41","NEIVA","41001","VIPA","2015","Asignados","1","16108750"
"CUNDINAMARCA","25","SOACHA","25754","MI CASA YA","2017","Asignados","2","36885850"
"ANTIOQUIA","5","SANTA ROSA DE OSOS","5686","Bolsa Desplazados","2008","Asignados","1","11537500"
"RISARALDA","66","GUÁTICA","66318","Bolsa Desplazados","2006","Asignados","8","81600000"
"VALLE DEL CAUCA","76","CANDELARIA","76130","MI CASA YA","2019","Renuncias al subsidio","1","16562320"
"CESAR","20","EL PASO","20250","Programa Vivienda Gratuita Fase I","2014","Perdida de ejecutoriedad de asignación de SFV","1","37224880"
"BOYACÁ","15","DUITAMA","15238","MI CASA YA","2020","Asignados","1","26334090"
"ANTIOQUIA","5","LA CEJA","5376","Bolsa Desplazados","2010","Renuncia con restitucion de subsidio","1","15450000"
"MAGDALENA","47","SANTA MARTA","47001","MI CASA YA","2019","Apto con subsidio vencido","2","49686960"
"TOLIMA","73","SALDAÑA","73671","MI CASA YA","2021","Asignados","1","27255780"
"ATLÁNTICO","8","SOLEDAD","8758","VIPA","2016","Renuncias al subsidio","1","20683650"
"META","50","ACACÍAS","50006","MI CASA YA","2020","Renuncias al subsidio","1","17556060"
"CASANARE","85","AGUAZUL","85010","MI CASA YA","2021","Apto con subsidio vencido","1","27255780"
"ANTIOQUIA","5","SANTA ROSA DE OSOS","5686","Semillero de Propietarios Ahorro","2022","Asignados","1","6000000"
"ANTIOQUIA","5","ANDES","5034","Semillero de Propietarios Ahorro","2021","Asignados","2","10902312"
"BOYACÁ","15","PAIPA","15516","Semillero de Propietarios Arriendo","2022","Asignados","1","15344640"
"ANTIOQUIA","5","MEDELLÍN","5001","MI CASA YA","2019","Asignados","1","16562320"
"CAQUETÁ","18","SOLITA","18785","Bolsa Desplazados","2004","Asignados","1","8950000"
"ANTIOQUIA","5","COPACABANA","5212","Bolsa Ordinaria","2003","Renuncia con restitucion de subsidio","1","7107000"
"VALLE DEL CAUCA","76","JAMUNDÍ","76364","MI CASA YA","2023","Asignados","58","1705200000"
"NORTE DE SANTANDER","54","PUERTO SANTANDER","54535","Programa Vivienda Gratuita Fase II","2019","Asignados","13","710930220"
"CAUCA","19","PURACÉ","19585","Bolsa Ordinaria","2004","Restitución SFV por Indemnización","30","225540000"
"CUNDINAMARCA","25","SOACHA","25754","Bolsa Desplazados","2008","Asignados","37","483710250"
"RISARALDA","66","DOSQUEBRADAS","66170","Bolsa Saludable","2009","Apto con subsidio vencido","5","18460000"
"SANTANDER","68","BARRANCABERMEJA","68081","MI CASA YA","2024","Asignados","5","156000000"
"ARAUCA","81","ARAUQUITA","81065","Bolsa Desplazados","2009","Asignados","35","513049250"
"META","50","VILLAVICENCIO","50001","MI CASA YA","2023","Asignados","14","371200000"
"CUNDINAMARCA","25","MADRID","25430","MI CASA YA","2020","Renuncias al subsidio","3","70224240"
"CESAR","20","SAN ALBERTO","20710","Bolsa Desplazados","2009","Asignados","6","83230750"
"CUNDINAMARCA","25","CHOCONTÁ","25183","MI CASA YA","2021","Asignados","1","18170520"
"BOLÍVAR","13","TURBACO","13836","MI CASA YA","2020","Asignados","4","96558330"
"CUNDINAMARCA","25","GIRARDOT","25307","MI CASA YA","2023","Asignados","13","301600000"
"VALLE DEL CAUCA","76","YUMBO","76892","MI CASA YA","2022","Asignados","11","290000000"
"ANTIOQUIA","5","EL SANTUARIO","5697","MI CASA YA","2023","Asignados","1","23200000"
"CAQUETÁ","18","FLORENCIA","18001","Bolsa Esfuerzo Territorial","2011","Asignados","71","833393600"
"CUNDINAMARCA","25","MADRID","25430","Semillero de Propietarios Arriendo","2022","Asignados","3","43808940"
"NORTE DE SANTANDER","54","VILLA DEL ROSARIO","54874","Semillero de Propietarios Arriendo","2020","Asignados","11","140163012"
"TOLIMA","73","IBAGUÉ","73001","MI CASA YA","2022","Asignados","64","1490000000"
"SANTANDER","68","GIRÓN","68307","MI CASA YA","2024","Asignados","16","585000000"
"VALLE DEL CAUCA","76","JAMUNDÍ","76364","MI CASA YA","2023","Asignados","54","1554400000"
"HUILA","41","PITALITO","41551","MI CASA YA","2016","Asignados","1","13789100"
"BOYACÁ","15","TÓPAGA","15820","Casa Digna Vida Digna","2025","Asignados","15","234000000"
"VALLE DEL CAUCA","76","YUMBO","76892","MI CASA YA","2022","Asignados","26","610000000"
"NORTE DE SANTANDER","54","CHINÁCOTA","54172","Bolsa Esfuerzo Territorial","2011","Asignados","84","873600000"
"NORTE DE SANTANDER","54","VILLA DEL ROSARIO","54874","MI CASA YA","2024","Asignados","28","949000000"
"CUNDINAMARCA","25","MADRID","25430","MI CASA YA","2020","Asignados","14","245784840"
"ATLÁNTICO","8","BARRANQUILLA","8001","MI CASA YA","2018","Asignados","9","171873240"
"VALLE DEL CAUCA","76","SANTIAGO DE CALI","76001","MI CASA YA","2018","Asignados","4","78124200"
"SUCRE","70","SINCELEJO","70001","Bolsa Ordinaria","2008","Apto con subsidio vencido","1","9107700"
"ANTIOQUIA","5","SONSÓN","5756","Bolsa Atentados terroristas","2007","Asignados","22","188496000"
"VALLE DEL CAUCA","76","CANDELARIA","76130","MI CASA YA","2018","Asignados","19","367183740"
"SANTANDER","68","PIEDECUESTA","68547","MI CASA YA","2020","Asignados","6","131670450"
"HUILA","41","GIGANTE","41306","Bolsa Atentados terroristas","2004","Asignados","3","18557217"
"TOLIMA","73","FLANDES","73275","MI CASA YA","2023","Asignados","2","46400000"
"ANTIOQUIA","5","EL SANTUARIO","5697","MI CASA YA","2024","Asignados","1","39000000"
"VALLE DEL CAUCA","76","PALMIRA","76520","VIPA","2015","Renuncias al subsidio","2","41367300"
"QUINDÍO","63","CALARCÁ","63130","Bolsa Saludable","2009","Apto con subsidio vencido","15","44844523"
"ATLÁNTICO","8","SOLEDAD","8758","MI CASA YA","2021","Asignados","24","581456640"
"ANTIOQUIA","5","MARINILLA","5440","MI CASA YA","2019","Asignados","1","24843480"
"BOYACÁ","15","SORACÁ","15764","MI CASA YA","2024","Asignados","2","65000000"
"BOGOTÁ, D.C.","11","BOGOTÁ, D.C.","11001","MI CASA YA","2017","Apto con subsidio vencido","1","14754340"
"SUCRE","70","SINCELEJO","70001","MI CASA YA","2022","Asignados","3","70000000"
"SANTANDER","68","FLORIDABLANCA","68276","MI CASA YA","2020","Asignados","6","114114390"
"CESAR","20","AGUACHICA","20011","Programa Vivienda Gratuita Fase II","2022","Asignados","15","1005000000"
"ANTIOQUIA","5","CAMPAMENTO","5134","Programa Vivienda Gratuita Fase I","2015","Asignados","4","147840000"
"NARIÑO","52","PASTO","52001","VIPA","2016","Renuncias al subsidio","2","41367300"
"ATLÁNTICO","8","BARRANQUILLA","8001","Concurso de Esfuerzo Territorial Nacional","2010","Asignados","1","9785000"
"BOGOTÁ, D.C.","11","BOGOTÁ, D.C.","11001","Bolsa Desplazados","2008","Subsidio Revocado","3","41879250"
"NORTE DE SANTANDER","54","PAMPLONA","54518","Ahorro Programado Contractual","2011","Apto con subsidio vencido","2","16862180"
"NARIÑO","52","PASTO","52001","MI CASA YA","2021","Asignados","2","45426300"
"BOGOTÁ, D.C.","11","BOGOTÁ, D.C.","11001","Bolsa Desplazados","2008","Perdida de ejecutoriedad de asignación de SFV","2","11537500"
"ANTIOQUIA","5","MEDELLÍN","5001","Semillero de Propietarios Ahorro","2022","Asignados","7","42000000"
"VALLE DEL CAUCA","76","SANTIAGO DE CALI","76001","MI CASA YA","2022","Asignados","10","200000000"
"TOLIMA","73","PURIFICACIÓN","73585","MI CASA YA","2021","Asignados","1","18170520"
"CAUCA","19","POPAYÁN","19001","MI CASA YA","2020","Asignados","23","544237860"
"NARIÑO","52","PASTO","52001","MI CASA YA","2020","Asignados","11","254562870"
"ATLÁNTICO","8","SABANALARGA","8638","MI CASA YA","2023","Asignados","11","348000000"
"NORTE DE SANTANDER","54","SANTIAGO","54680","Bolsa Esfuerzo Territorial","2004","Asignados","13","97734000"
"VALLE DEL CAUCA","76","SANTIAGO DE CALI","76001","Semillero de Propietarios Arriendo","2022","Asignados","2","30689280"
"MAGDALENA","47","PUEBLOVIEJO","47570","Bolsa Concejales","2009","Restitución SFV por Vencimiento Vigencia","1","10931800"
"LA GUAJIRA","44","EL MOLINO","44110","Casa Digna Vida Digna","2025","Asignados","28","389760000"
"VALLE DEL CAUCA","76","YUMBO","76892","MI CASA YA","2022","Asignados","17","390000000"
"CÓRDOBA","23","MONTERÍA","23001","MI CASA YA","2024","Asignados","18","650000000"
"BOGOTÁ, D.C.","11","BOGOTÁ, D.C.","11001","VIPA","2017","Perdida de ejecutoriedad de asignación de SFV","4","88526040"
"SANTANDER","68","FLORIDABLANCA","68276","Semillero de Propietarios Arriendo","2021","Asignados","1","13450380"
"HUILA","41","NEIVA","41001","Macroproyecto","2012","Apto con subsidio vencido","99","1234272600"
"VALLE DEL CAUCA","76","GUADALAJARA DE BUGA","76111","MI CASA YA","2024","Asignados","10","390000000"
"NARIÑO","52","BARBACOAS","52079","Bolsa Desplazados","2008","Asignados","57","385077250"
